Empreendimento;Situação;Data Entrega; Unidades Habitacionais ;Programa;Ação PPA;Município;Região Administrativa
ADAMANTINA;COMERCIALIZADA;31/08/1994; 2 ;Lotes Próprios;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA;COMERCIALIZADA;31/08/1994; 3 ;Lotes Próprios;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA;COMERCIALIZADA;31/08/1994; 8 ;Lotes Próprios;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA;COMERCIALIZADA;15/07/1996; 8 ;Lotes Próprios;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA;COMERCIALIZADA;15/07/1997; 1 ;Lotes Próprios;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA - MICROCREDITO;COMERCIALIZADA;31/12/2007; 5 ;Crédito Habitacional;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA A1;COMERCIALIZADA;01/01/1977; 32 ;CEESP;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA A2;COMERCIALIZADA;15/08/1986; 56 ;Prog Municipal Habitação;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA C;COMERCIALIZADA;13/06/1990; 44 ;SH2;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA D;COMERCIALIZADA;13/04/1991; 60 ;SH2;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA E;COMERCIALIZADA;30/05/1991; 80 ;Prog Municipal Habitação;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA F;COMERCIALIZADA;14/06/1991; 96 ;SH2;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA G1;COMERCIALIZADA;31/07/1992; 236 ;SH3;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA G2;COMERCIALIZADA;31/07/1992; 6 ;SH3;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA H;COMERCIALIZADA;13/07/1996; 112 ;SH4;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA I;COMERCIALIZADA;13/07/1996; 199 ;SH4;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA J1;COMERCIALIZADA;28/06/2002; 300 ;Sonho Meu;;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA L;COMERCIALIZADA;27/08/2011; 129 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA M;COMERCIALIZADA;27/12/2013; 50 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA N;COMERCIALIZADA;28/07/2021; 54 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Adamantina;PRESIDENTE PRUDENTE
ADAMANTINA O;COMERCIALIZADA;28/08/2020; 45 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Adamantina;PRESIDENTE PRUDENTE
ADOLFO A;COMERCIALIZADA;07/09/1990; 45 ;SH2;;Adolfo;SÃO JOSÉ DO RIO PRETO
ADOLFO B;COMERCIALIZADA;11/07/1996; 18 ;SH4;;Adolfo;SÃO JOSÉ DO RIO PRETO
ADOLFO C;COMERCIALIZADA;11/07/1996; 76 ;SH4;;Adolfo;SÃO JOSÉ DO RIO PRETO
ADOLFO E;COMERCIALIZADA;05/05/2018; 40 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Adolfo;SÃO JOSÉ DO RIO PRETO
ADOLFO E;COMERCIALIZADA;13/12/2018; 49 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Adolfo;SÃO JOSÉ DO RIO PRETO
AGUAI A1;COMERCIALIZADA;01/01/1978; 20 ;CEESP;;Aguaí;CAMPINAS
AGUAI A2;COMERCIALIZADA;01/01/1983; 24 ;Caixa Economica Federal;;Aguaí;CAMPINAS
AGUAI B;COMERCIALIZADA;05/05/1990; 191 ;SH2;;Aguaí;CAMPINAS
AGUAI C;COMERCIALIZADA;31/03/1992; 464 ;SH3;;Aguaí;CAMPINAS
AGUAI F;COMERCIALIZADA;15/02/2002; 155 ;Sonho Meu;;Aguaí;CAMPINAS
AGUAS DA PRATA C1;COMERCIALIZADA;26/11/1993; 90 ;SH3;;Águas da Prata;CAMPINAS
AGUAS DA PRATA C2;COMERCIALIZADA;29/08/1997; 64 ;SH4;;Águas da Prata;CAMPINAS
AGUAS DA PRATA D1;COMERCIALIZADA;29/12/2005; 22 ;Autoconstrução;;Águas da Prata;CAMPINAS
AGUAS DA PRATA D2;COMERCIALIZADA;27/12/2011; 25 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Águas da Prata;CAMPINAS
AGUAS DA PRATA E;COMERCIALIZADA;26/10/2015; 30 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Águas da Prata;CAMPINAS
AGUAS DE LINDOIA A1/A2;COMERCIALIZADA;24/07/1992; 226 ;SH3;;Águas de Lindóia;CAMPINAS
AGUAS DE LINDOIA A1/A2;COMERCIALIZADA;18/06/1993; 126 ;SH3;;Águas de Lindóia;CAMPINAS
